"Threshold_bp","Target_In","Target_Total","Target_Percent","Background_In","Background_Total","Background_Percent","Odds_Ratio","P_Value","FDR"
0,1,18,5.55555555555556,10512,173821,6.04760069266659,0.913851014928259,0.674672039684129,0.674672039684129
1000,9,18,50,39323,173821,22.6226980629498,3.42021757296404,0.00998435858490835,0.0399374343396334
5000,13,18,72.2222222222222,101439,173821,58.3583111361688,1.85522071215737,0.170533815165101,0.341067630330201
10000,14,18,77.7777777777778,131657,173821,75.7428619096657,1.12089569495031,0.548332474542898,0.674672039684129
