"Annotation","Heavy_Total","Heavy_In","Heavy_Percent","Light_Total","Light_In","Light_Percent","Odds_Ratio_Heavy_vs_Light","P_Value","FDR"
"H3K9me3",960,106,11.0416666666667,173,6,3.46820809248555,3.45219170238961,0.00126419540493513,0.00316048851233782
"H3K27me3",960,64,6.66666666666667,173,2,1.15606936416185,6.10171062488883,0.00223895229116142,0.0037315871519357
"TRIM28_H3K9me3",960,31,3.22916666666667,173,0,0,Inf,0.00945191410885404,0.0118148926360675
"H3K9me3_H3K27me3",960,42,4.375,173,1,0.578034682080925,7.86203417217203,0.0148745459963487,0.0148745459963487
"Het",960,11,1.14583333333333,173,11,6.35838150289017,0.171125800047113,0.000118472810614973,0.000592364053074863
