"Query_Group","Annotation","Query_Total","Query_In_Annotation","Query_Percent","Background_Percent","Odds_Ratio","P_Value","FDR"
"All_DML","H3K9me3",1133,112,9.88526037069726,3.74359260528854,2.84248290027277,4.71844967796397e-20,6.60582954914956e-19
"All_DML","H3K27me3",1133,66,5.8252427184466,3.96242058019308,1.50251057997127,0.00147515233023917,0.00344202210389139
"All_DML","TRIM28",1133,47,4.14827890556046,2.43341491218979,1.74090884545292,0.00038263483253983,0.00107137753111152
"All_DML","EZH2",1133,45,3.97175639894086,2.17074162355211,1.87123077995254,0.00011251124754653,0.000409339726489148
"All_DML","SUZ12",1133,44,3.88349514563107,2.06989740196586,1.91937504848374,7.71369774968767e-05,0.000409339726489148
"All_DML","RNF2",1133,37,3.26566637246249,2.02445771318787,1.63843800488425,0.00373943064839554,0.0058168921197264
"All_DML","BMI1",1133,62,5.47219770520741,3.82490573257547,1.45854387412454,0.00367116364985136,0.0058168921197264
"All_DML","CBX2",1133,47,4.14827890556046,3.39203290790093,1.23388510677084,0.0950029780941191,0.110836807776472
"All_DML","CBX3",1133,41,3.61871138570168,5.68952734751796,0.621265120955563,0.999469867020195,0.999999881675153
"All_DML","CBX7",1133,54,4.76610767872904,2.77062523417383,1.7621861540386,0.000116954207568328,0.000409339726489148
"All_DML","CBX8",1133,17,1.50044130626655,4.12145949091605,0.353306202032351,0.999999881675153,0.999999881675153
"All_DML","Het",1133,22,1.94174757281553,0.96658987093534,2.03834713848542,0.00197632806460353,0.00395265612920705
"All_DML","ReprPC",1133,49,4.32480141218005,3.37050884479556,1.29764968515664,0.0485067276933826,0.0679094187707356
"All_DML","ReprPCWk",1133,47,4.14827890556046,3.30832821804673,1.26638267686672,0.0703539620198418,0.0895414062070714
"Heavy_UP","H3K9me3",960,106,11.0416666666667,3.74359260528854,3.21640827330613,1.27800002841931e-22,1.78920003978703e-21
"Heavy_UP","H3K27me3",960,64,6.66666666666667,3.96242058019308,1.73594997016867,5.06837625526867e-05,0.000118262112622936
"Heavy_UP","TRIM28",960,45,4.6875,2.43341491218979,1.97907216820586,3.40344893547709e-05,9.52965701933584e-05
"Heavy_UP","EZH2",960,44,4.58333333333333,2.17074162355211,2.17430288396289,4.7207758300371e-06,2.20302872068398e-05
"Heavy_UP","SUZ12",960,43,4.47916666666667,2.06989740196586,2.22882209860142,3.32359250904523e-06,2.20302872068398e-05
"Heavy_UP","RNF2",960,36,3.75,2.02445771318787,1.89189917311144,0.000411255734583978,0.000822511469167957
"Heavy_UP","BMI1",960,55,5.72916666666667,3.82490573257547,1.53112824775532,0.00234352621892966,0.0041011708831269
"Heavy_UP","CBX2",960,47,4.89583333333333,3.39203290790093,1.46871575020051,0.00890373377679655,0.0138502525416835
"Heavy_UP","CBX3",960,38,3.95833333333333,5.68952734751796,0.682326782266274,0.993854282419497,0.999999411041364
"Heavy_UP","CBX7",960,51,5.3125,2.77062523417383,1.97606720187407,1.17484398336472e-05,4.11195394177651e-05
"Heavy_UP","CBX8",960,14,1.45833333333333,4.12145949091605,0.343388314141393,0.999999411041364,0.999999411041364
"Heavy_UP","Het",960,11,1.14583333333333,0.96658987093534,1.18844027062235,0.326992666214815,0.381491443917284
"Heavy_UP","ReprPC",960,37,3.85416666666667,3.37050884479556,1.14990333575068,0.225116047431275,0.28651133309435
"Heavy_UP","ReprPCWk",960,37,3.85416666666667,3.30832821804673,1.17236920043635,0.193522344562247,0.270931282387146
"Light_UP","H3K9me3",173,6,3.46820809248555,3.74359260528854,0.923746805489344,0.631721374168968,1
"Light_UP","H3K27me3",173,2,1.15606936416185,3.96242058019308,0.283331489214849,0.992551901406358,1
"Light_UP","TRIM28",173,2,1.15606936416185,2.43341491218979,0.468768642867046,0.925151410108419,1
"Light_UP","EZH2",173,1,0.578034682080925,2.17074162355211,0.261910133345093,0.977585763362869,1
"Light_UP","SUZ12",173,1,0.578034682080925,2.06989740196586,0.274954329290156,0.973210807418433,1
"Light_UP","RNF2",173,1,0.578034682080925,2.02445771318787,0.281256740462958,0.970971438076736,1
"Light_UP","BMI1",173,7,4.04624277456647,3.82490573257547,1.06038292730006,0.493733745871912,1
"Light_UP","CBX2",173,0,0,3.39203290790093,0,1,1
"Light_UP","CBX3",173,3,1.73410404624277,5.68952734751796,0.292372470200613,0.997401904715133,1
"Light_UP","CBX7",173,3,1.73410404624277,2.77062523417383,0.619122394819677,0.860614532269883,1
"Light_UP","CBX8",173,3,1.73410404624277,4.12145949091605,0.410357843750591,0.975303130191124,1
"Light_UP","Het",173,11,6.35838150289017,0.96658987093534,6.98287060751519,1.21372972626973e-06,1.69922161677762e-05
"Light_UP","ReprPC",173,12,6.9364161849711,3.37050884479556,2.13839347133868,0.0148319380662008,0.103823566463406
"Light_UP","ReprPCWk",173,10,5.78034682080925,3.30832821804673,1.79399309778677,0.0628707029919633,0.293396613962495
